"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "", "", "", ""
"objectName", "", "", "", "CANARD AUX NAVETS"
"objectName", "", "", "carotte", "CAROTTE"
"objectName", "", "", "", "PANIERS"
"objectName", "", "", "", "POULE AU RIZ"
"objectName", "", "", "", "POULET RÔTI"
"objectName", "", "", "", "Plante potagère"
"objectName", "", "", "", "VOLAILLES"
"objectName", "", "", "", "achats"
"objectName", "", "", "", "ailes"
"objectName", "", "", "", "alimentation"
"objectName", "", "", "", "basse-cour"
"objectName", "", "", "", "bec"
"objectName", "", "", "", "beurre"
"objectName", "", "", "", "beurre frais"
"objectName", "", "", "carotte", "blanche"
"objectName", "", "", "", "botte"
"objectName", "", "", "", "botte"
"objectName", "", "", "", "botte"
"objectName", "", "", "", "bouillon"
"objectName", "", "", "", "bouillon"
"objectName", "", "", "", "bouillon"
"objectName", "", "", "", "bouquet garni"
"objectName", "", "", "", "canard"
"objectName", "", "", "", "canard"
"objectName", "", "", "", "canard"
"objectName", "", "", "", "canard"
"objectName", "", "", "", "canard aux navets"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte"
"objectName", "", "", "carotte", "carotte de Hollande"
"objectName", "", "", "carotte", "carotte nantaise"
"objectName", "", "", "carotte", "carottes"
"objectName", "", "", "carotte", "carottes"
"objectName", "", "", "carotte", "carottes fourragères"
"objectName", "", "", "", "casserole"
"objectName", "", "", "", "casserole"
"objectName", "", "", "", "casserole"
"objectName", "", "", "", "centimes"
"objectName", "", "", "", "choux de Bruxelles"
"objectName", "", "", "", "choux de Bruxelles"
"objectName", "", "", "", "clous de girofle"
"objectName", "", "", "", "conservation"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "corbeilles"
"objectName", "", "", "", "cresson"
"objectName", "", "", "", "cuillerées"
"objectName", "", "", "", "cuisinières"
"objectName", "", "", "", "cuisse"
"objectName", "", "", "", "céleri"
"objectName", "", "", "", "d'aliment"
"objectName", "", "", "", "denrées"
"objectName", "", "", "", "eau"
"objectName", "", "", "", "eau"
"objectName", "", "", "", "espèces"
"objectName", "", "", "", "four"
"objectName", "", "", "", "fromages"
"objectName", "", "", "", "fruits"
"objectName", "", "", "", "graines"
"objectName", "", "", "", "grappe"
"objectName", "", "", "", "jambon"
"objectName", "", "", "", "jus"
"objectName", "", "", "", "jus"
"objectName", "", "", "", "jus"
"objectName", "", "", "", "lard"
"objectName", "", "", "", "légumes"
"objectName", "", "", "", "légumes"
"objectName", "", "", "", "marché"
"objectName", "", "", "", "marché"
"objectName", "", "", "", "navets"
"objectName", "", "", "", "navets"
"objectName", "", "", "", "oignon"
"objectName", "", "", "", "os"
"objectName", "", "", "", "panier"
"objectName", "", "", "", "panier à vendange"
"objectName", "", "", "", "panier de marée"
"objectName", "", "", "", "panier à ouvrage"
"objectName", "", "", "", "panier à anse"
"objectName", "", "", "", "panier à claire-voie"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "paniers"
"objectName", "", "", "", "pattes"
"objectName", "", "", "", "peau"
"objectName", "", "", "", "peau"
"objectName", "", "", "", "pioche"
"objectName", "", "", "", "plante"
"objectName", "", "", "", "plante-racine potagère"
"objectName", "", "", "", "plat de fer"
"objectName", "", "", "", "poire de beurré"
"objectName", "", "", "", "poivre;"
"objectName", "", "", "", "poule"
"objectName", "", "", "", "poule au riz"
"objectName", "", "", "", "poulet"
"objectName", "", "", "", "poulet"
"objectName", "", "", "", "poulet rôti"
"objectName", "", "", "", "poulet rôti"
"objectName", "", "", "", "poulets"
"objectName", "", "", "", "pro- visions"
"objectName", "", "", "", "produits"
"objectName", "", "", "", "provisions"
"objectName", "", "", "", "pêches"
"objectName", "", "", "", "racine"
"objectName", "", "", "", "racine"
"objectName", "", "", "", "racine"
"objectName", "", "", "", "racine"
"objectName", "", "", "", "raisin"
"objectName", "", "", "", "riz"
"objectName", "", "", "carotte", "rouge de Flandre"
"objectName", "", "", "", "roux"
"objectName", "", "", "", "récolte"
"objectName", "", "", "", "saladier"
"objectName", "", "", "", "saveur"
"objectName", "", "", "", "saveur"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sou"
"objectName", "", "", "", "suc"
"objectName", "", "", "", "sucre"
"objectName", "", "", "", "ustensiles"
"objectName", "", "", "", "victuailles"
"objectName", "", "", "", "vinaigre"
"objectName", "", "", "", "volaille"
"objectName", "", "", "", "volaille"
"objectName", "", "", "", "volaille"
"objectName", "", "", "", "épicier"
"objectName", "", "", "", "étals"
"objectName", "", "", "", "œufs"
