Chapter,Object," ""Type"""," ""Subtype"""," ""Key"""," ""elementContent""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème renversée.""",,,,,
135,objectName," ""ustensile"""," """""," ""cuiller"""," ""cuiller""",,,,,
135,objectName," ""ustensile"""," """""," ""doroir"""," ""doroir""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""eau""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""eau""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""eau froide""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""eau ordinaire""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""eau tiède""",,,,,
135,objectName," ""ingrédient"""," ""carné"""," ""farce"""," ""farce""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine séchée au four""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine","
objectName"""," ""ustensile"""," """""," ""feu"""," ""feu"""
135,objectName," ""ustensile"""," """""," ""feu"""," ""feu""",,,,,
135,objectName," ""ustensile"""," """""," ""feu"""," ""feu""",,,,,
135,objectName," ""ustensile"""," """""," ""feu"""," ""feu""",,,,,
135,objectName," ""ustensile"""," """""," ""feu"""," ""feu doux de cendres""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""fleur d'oranger"""," ""fleur d'oranger pralinée""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""fleur de farine""",,,,,
135,objectName," ""ustensile"""," """""," """""," ""four""",added key,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four gai""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""four de campagne""",,,,,
135,objectName," ""ustensile"""," """""," ""fourchette"""," ""fourchette""",,,,,
135,objectName," ""ustensile"""," """""," ""four"""," ""fourquelconque""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""fruit"""," ""fruits""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""fruit"""," ""fruits""",,,,,
135,objectName," ""mets"""," """""," ""galette"""," ""galette""",,,,,
135,objectName," ""mets"""," """""," ""galette"""," ""galettes""",,,,,
135,objectName," ""mets"""," """""," ""gâteau"""," ""gâteau""",,,,,
135,objectName," ""mets"""," """""," ""gâteau de Savoie"""," ""gâteau de Savoie""",,,,,
135,objectName," ""mets"""," """""," ""gâteau simple"""," ""gâteau simple""",,,,,
135,objectName," ""mets"""," """""," ""gâteau"""," ""gâteaux""",,,,,
135,objectName," ""ingrédient"""," """""," ""œuf"""," ""jaune""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," ""jaunes""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," ""jaunes""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," """""," ""lait""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," """""," ""lait """,,,,,
135,objectName," ""ingrédient"""," """""," ""levain"""," ""levain""",,,,,
135,objectName," ""ingrédient"""," """""," ""levain"""," ""levain""",,,,,
135,objectName," ""ingrédient"""," """""," ""levain"""," ""levain""",,,,,
135,objectName," ""ingrédient"""," """""," ""levain"""," ""levain de pain""",,,,,
135,objectName," ""ingrédient"""," """""," ""levure"""," ""levure de bière""",,,,,
135,objectName," ""ustensile"""," """""," ""linge"""," ""linge""",,,,,
135,objectName," ""ustensile"""," """""," ""linge"""," ""linge""",,,,,
135,objectName," ""ustensile"""," """""," ""linge"""," ""linge blanc""",,,,,
135,objectName," """""," """""," """""," ""miette""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""moule""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""moule""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""moule""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""moules à pâtisserie""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""moules à pâtisserie""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""noyau"""," ""noyaux""",,,,,
135,objectName," ""ustensile"""," """""," ""planchette"""," ""planchettes rondes""",,,,,
135,objectName," ""ustensile"""," """""," ""plaque de four"""," ""plaque de four""",,,,,
135,objectName," ""ustensile"""," """""," ""plaque de t√¥le"""," ""plaque de t√¥le""",,,,,
135,objectName," ""ustensile"""," """""," ""mets"""," ""mets""",,,,,
135,objectName," ""ustensile"""," """""," ""plat creux"""," ""mets""",,,,,
135,objectName," ""ustensile"""," """""," ""plat creux"""," ""plat creux""",,,,,
135,objectName," ""mets"""," """""," ""pot-au-feu"""," ""pot-au-feu""",,,,,
135,objectName," ""ustensile"""," """""," ""poêlon"""," ""poêlon""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""prune"""," ""prunes de reine-Claude""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""mets"""," """""," ""pâte"""," ""pâte""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte brisée"""," ""pâte brisée """,,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte brisée"""," ""pâte brisée""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte cuite""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""pâte molle""",,,,,
135,objectName," ""mets"""," """""," """""," ""pâtisseries""",added key,,,,
135,objectName," ""mets"""," """""," ""pâté"""," ""pâté""",,,,,
135,objectName," ""mets"""," """""," ""pâté"""," ""pâtés""",,,,,
135,objectName," ""ustensile"""," """""," ""rouleau"""," ""rouleau""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sel"""," ""sel""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sel"""," ""sel""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""sucre"""," ""sucre """,,,,,
135,objectName," ""ustensile"""," """""," ""sébile"""," ""sébile""",,,,,
135,objectName," """""," """""," """""," ""table""",removed because expression not object,,,,
135,objectName," ""ustensile"""," """""," ""table"""," ""table""",,,,,
135,objectName," ""ustensile"""," """""," ""table"""," ""table""",,,,,
135,objectName," ""mets"""," """""," ""tarte"""," ""tarte""",,,,,
135,objectName," ""mets"""," """""," ""tarte"""," ""tarte""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux pommes"""," ""tarte aux pommes""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte aux prunes""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte aux prunes""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte aux prunes""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux prunes"""," ""tarte aux reines-Claude.""",,,,,
135,objectName," ""mets"""," """""," ""tarte"""," ""tartes""",,,,,
135,objectName," ""mets"""," """""," ""tarte"""," ""tartes aux confitures""",,,,,
135,objectName," ""ustensile"""," """""," ""terrine"""," ""terrine""",,,,,
135,objectName," ""ustensile"""," """""," ""terrine"""," ""terrine""",,,,,
135,objectName," ""ingrédient"""," ""éparco"""," ""vanille"""," ""vanille""",,,,,
135,objectName," ""ingrédient"""," ""carné"""," ""veau"""," ""veau""",,,,,
135,objectName," ""ingrédient"""," """""," ""eau"""," ""verre""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs ;""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs battus""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," œufs entiers""",,,,,
135,objectName," ""mets"""," """""," œufs à la neige"""," œufs à la neige""",,,,,
