"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "", "", "", " "
"objectName", "ingrédient", "poisson", "homard", ">pattes"
"objectName", "ingrédient", "poisson", "homard", ">pattes"
"objectName", "produit", "laitier", "beurre", "Bretagne"
"objectName", "produit", "poisson", "crevette", "Crevette"
"objectName", "", "", "", "HARENGS"
"objectName", "mets", "", "homard", "HOMARD"
"objectName", "", "", "", "Halles centrales"
"objectName", "produit", "poisson", "hareng", "Harengs"
"objectName", "produit", "poisson", "homard", "Homard"
"objectName", "", "", "", "POISSONS"
"objectName", "produit", "poisson", "saumon", "Poisson"
"objectName", "produit", "poisson", "turbot", "Poisson"
"objectName", "mets", "", "rai au beurre noire", "RAIE AU BEURRE NOIR"
"objectName", "mets", "", "sole au gratin", "SOLE AU GRATIN"
"objectName", "produit", "poisson", "saumon", "Saumon"
"objectName", "produit", "poisson", "turbot", "Turbot"
"objectName", "ingrédient", "poisson", "raie", "amer"
"objectName", "", "", "", "anchois"
"objectName", "ingrédient", "éparco", "assisonnement", "assaisonnement"
"objectName", "mets", "", "poisson au court bouillon", "au court-bouillon"
"objectName", "mets", "", "poisson au court bouillon", "au court-bouillon"
"objectName", "mets", "", "poisson aux fines herbes", "aux fines herbes"
"objectName", "ingrédient", "laitier", "", "beurre"
"objectName", "ingrédient", "laitier", "beurre", "beurre"
"objectName", "ingrédient", "laitier", "beurre", "beurre"
"objectName", "ingrédient", "laitier", "beurre", "beurre"
"objectName", "produit", "laitier", "beurre", "beurre de Normandie"
"objectName", "ingrédient", "", "beurre noir", "beurre noir"
"objectName", "ingrédient", "laitier", "beurre noir", "beurre noir"
"objectName", "mets", "", "poisson bouilli", "bouilli"
"objectName", "ingrédient", "", "bouillon", "bouillon"
"objectName", "produit", "carné", "bœuf", "bœuf"
"objectName", "ingrédient", "éparco", "carptte", "carottes"
"objectName", "ustensile", "", "casserole", "casserole"
"objectName", "", "", "", "chair"
"objectName", "", "", "", "chair"
"objectName", "", "", "", "chair"
"objectName", "produit", "poisson", "homard", "chair"
"objectName", "ingrédient", "légume", "champignon", "champignons"
"objectName", "ingrédient", "féculent", "chapelure", "chapelure"
"objectName", "ustensile", "", "chaudron", "chaudron"
"objectName", "ingrédient", "éparco", "ciboule", "ciboule"
"objectName", "mets", "", "poisson confit à l'huile", "confit à l'huile"
"objectName", "produit", "poisson", "congre", "congres"
"objectName", "", "", "", "coquillages"
"objectName", "produit", "poisson", "coquillage", "coquillages"
"objectName", "ingrédient", "poisson", "homard", "corps"
"objectName", "ingrédient", "poisson", "homard", "corps"
"objectName", "ingrédient", "", "court-bouillon", "court-bouillon"
