"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "", "", "chou", "CHOU"
"objectName", "", "", "chou", "CHOU EN RAGOÛT"
"objectName", "", "", "", "CHOUCROUTE"
"objectName", "", "", "", "Chou Milan"
"objectName", "", "", "", "Chou cabus"
"objectName", "", "", "", "baril"
"objectName", "", "", "", "baril"
"objectName", "", "", "", "baril"
"objectName", "", "", "", "betteraves"
"objectName", "", "", "", "beurre"
"objectName", "", "", "", "blé"
"objectName", "", "", "", "bouillon"
"objectName", "", "", "", "bouillon"
"objectName", "", "", "chou de bruxelles", "bruxelles"
"objectName", "", "", "", "bœuf"
"objectName", "", "", "chou", "cabus"
"objectName", "", "", "", "casserole"
"objectName", "", "", "", "casserole"
"objectName", "", "", "", "caulet de Flandre"
"objectName", "", "", "", "cervelas"
"objectName", "", "", "", "cervelas"
"objectName", "", "", "", "chair"
"objectName", "", "", "", "chou"
"objectName", "", "", "", "chou"
"objectName", "", "", "chou", "chou"
"objectName", "", "", "chou", "chou"
"objectName", "", "", "chou", "chou"
"objectName", "", "", "chou", "chou"
"objectName", "", "", "chou", "chou branchu"
"objectName", "", "", "chou", "chou cavalier rouge"
"objectName", "", "", "", "chou mille-têtes du Poitou"
"objectName", "", "", "chou", "chou mœllier"
"objectName", "", "", "chou", "chou navet"
"objectName", "", "", "", "choucroute"
"objectName", "", "", "", "choucroute"
"objectName", "", "", "", "choucroute"
"objectName", "", "", "", "choucroute"
"objectName", "", "", "", "choux"
"objectName", "", "", "", "choux"
"objectName", "", "", "", "choux"
"objectName", "", "", "", "choux"
"objectName", "", "", " chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux"
"objectName", "", "", "chou", "choux cabus"
"objectName", "", "", "", "choux de Bruxelles"
"objectName", "", "", "chou", "choux milans"
"objectName", "", "", "chou", "choux rouges"
"objectName", "", "", "", "choux à grosse pomme"
"objectName", "", "", "chou", "choux-fleurs"
"objectName", "", "", "", "couteau"
"objectName", "", "", "", "couvercle"
"objectName", "", "", "", "couvercle"
"objectName", "", "", "", "couvercle"
"objectName", "", "", "", "cuisson"
"objectName", "", "", "", "cuisson"
"objectName", "", "", "", "eau"
"objectName", "", "", "", "eau"
"objectName", "", "", "", "eaux"
"objectName", "", "", "", "fermentation"
"objectName", "", "", "", "feuilles"
"objectName", "", "", "", "feuilles de laurier"
"objectName", "", "", "", "filets"
"objectName", "", "", "", "fruits"
"objectName", "", "", "", "fût"
"objectName", "", "", "", "genièvre"
"objectName", "", "", "", "genièvre"
"objectName", "", "", "", "genièvre"
"objectName", "", "", "", "grain"
"objectName", "", "", "", "grain"
"objectName", "", "", "", "graisse"
"objectName", "", "", "", "graisse"
"objectName", "", "", "", "graisse de rôti"
"objectName", "", "", "", "jambon"
"objectName", "", "", "", "jus"
"objectName", "", "", "", "lapins"
"objectName", "", "", "", "lard"
"objectName", "", "", "", "lard de poitrine"
"objectName", "", "", "", "lard de poitrine fumé"
"objectName", "", "", "", "laurier"
"objectName", "", "", "", "légume"
"objectName", "", "", "", "légumes"
"objectName", "", "", "", "milans"
"objectName", "", "", "", "mois"
"objectName", "", "", "", "morceau de bois"
"objectName", "", "", "", "orge"
"objectName", "", "", "", "petit lard"
"objectName", "", "", "", "plante"
"objectName", "", "", "", "plante"
"objectName", "", "", "", "plante potagère"
"objectName", "", "", "", "plante potagère"
"objectName", "", "", "", "plantes fourragères"
"objectName", "", "", "", "mets"
"objectName", "", "", "", "mets"
"objectName", "", "", "", "plat maigre"
"objectName", "", "", "", "poids"
"objectName", "", "", "", "poivre"
"objectName", "", "", "", "poivre"
"objectName", "", "", "", "poivre en grains"
"objectName", "", "", "", "porc salé"
"objectName", "", "", "", "porc salé"
"objectName", "", "", "", "pot"
"objectName", "", "", "", "pot-au-feu "
"objectName", "", "", "", "potiron"
"objectName", "", "", "", "potirons"
"objectName", "", "", "", "saucisses"
"objectName", "", "", "", "saucisses"
"objectName", "", "", "", "seigle"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "sel"
"objectName", "", "", "", "soupe"
"objectName", "", "", "", "toile"
"objectName", "", "", "", "viande de bœuf"
"objectName", "", "", "", "vin blanc"
"objectName", "", "", "", "volailles"
"objectName", "", "", "", "volailles"
"objectName", "", "", "", "écume"
