"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch124", "récit", "", "", "charlot", "Charlot"
"ch124", "récit", "", "", "françois", "François"
"ch124", "récit", "", "", "françois", "François"
"ch124", "récit", "", "", "françois", "François"
"ch124", "récit", "", "", "françois", "François"
"ch124", "récit", "", "", "françois", "François"
"ch124", "récit", "", "", "m_dumay", "M. Dumay"
"ch124", "récit", "", "", "m_dumay", "M. Dumay"
"ch124", "récit", "", "", "suzette", "Suzette"
"ch124", "questionnaire", "", "", "françois", "François"
"ch124", "questionnaire", "", "", "françois", "François"
"ch124", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch124", "questionnaire", "", "", "suzette", "Suzette"
