"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch114", "récit", "", "", "", "Dumay"
"ch114", "récit", "", "", "m_dumay", "M. Dumay"
"ch114", "récit", "", "", "m_dumay", "M. Dumay"
"ch114", "récit", "", "", "suzette", "Suzette"
"ch114", "récit", "", "", "suzette", "Suzette"
"ch114", "récit", "", "", "sylvain", "Sylvain"
"ch114", "récit", "", "", "sylvain", "Sylvain"
"ch114", "récit", "", "", "sylvain", "Sylvain"
"ch114", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch114", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch114", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch114", "questionnaire", "", "", "suzette", "Suzette"
"ch114", "questionnaire", "", "", "suzette", "Suzette"
"ch114", "questionnaire", "", "", "sylvain", "Syivain"
"ch114", "questionnaire", "", "", "sylvain", "Sylvain"
"ch114", "questionnaire", "", "", "sylvain", "Sylvain"
