"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch088", "récit", "", "", "mme_richard", "Mme Richard"
"ch088", "récit", "", "", "pascal", "Pascal"
"ch088", "récit", "", "", "pascal", "Pascal"
"ch088", "récit", "", "", "pascal", "Pascal"
"ch088", "récit", "", "", "pascal", "Pascal"
"ch088", "récit", "http://www.wikidata.org/entity/Q2735843", "", "Pierre Dupont", "Pierre Dupont"
"ch088", "récit", "http://www.wikidata.org/entity/Q2735843", "", "Pierre Dupont", "Pierre Dupont"
"ch088", "questionnaire", "", "", "mme_richard", "Mme Richard"
"ch088", "questionnaire", "", "", "mme_richard", "Mme Richard"
"ch088", "questionnaire", "", "", "pascal", "Pascal"
"ch088", "questionnaire", "", "", "pascal", "Pascal"
"ch088", "questionnaire", "http://www.wikidata.org/entity/Q2735843", "", "Pierre Dupont", "Pierre Dupont"
