"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch051", "récit", "", "", "benoît", "Benoît"
"ch051", "récit", "", "", "charlot", "Charlot"
"ch051", "récit", "http://www.wikidata.org/entity/Q330270", "", "", "François"
"ch051", "récit", "", "", "françois", "François"
"ch051", "récit", "", "", "françois", "François"
"ch051", "récit", "", "", "jacques", "Jacques"
"ch051", "récit", "", "", "lisa", "Lisa"
"ch051", "récit", "", "", "ludivine", "Ludivine"
"ch051", "récit", "", "", "m_dumay", "M. Dumay"
"ch051", "récit", "", "", "mme_liénard", "Mme Liénard"
"ch051", "récit", "", "", "mme_valon", "Mme Valon"
"ch051", "récit", "", "", "mme_valon", "Mme Valon"
"ch051", "récit", "", "", "suzette", "Suzette"
"ch051", "récit", "", "", "suzette", "Suzette"
"ch051", "récit", "", "", "vincent", "Vincent"
"ch051", "récit", "", "", "lucie_valon", "mademoiselle Lucie Valon"
"ch051", "récit", "", "", "m_valon", "monsieur Georges Valon"
"ch051", "questionnaire", "", "", "charlot", "Charlot"
"ch051", "questionnaire", "", "", "françois", "François"
"ch051", "questionnaire", "", "", "mme_valon", "Mme Valon"
"ch051", "questionnaire", "", "", "mme_valon", "Mme Valon"
"ch051", "questionnaire", "", "", "suzette", "Suzette"
"ch051", "morale", "https://www.wikidata.org/wiki/Q3218983", "", "", "L. DE JUSSIEU"
"ch051", "histoire", "", "", "", "E. LAPORTE"
"ch051", "histoire", "https://www.wikidata.org/wiki/Q954657", "", "", "HENRI MARTIN"
