"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch030", "récit", "", "", "jacques", "Jacques"
"ch030", "récit", "", "", "jacques", "Jacques"
"ch030", "récit", "", "", "jacques", "Jacques"
"ch030", "récit", "", "", "suzette", "Suzette"
"ch030", "questionnaire", "", "", "jacques", "Jacques"
"ch030", "questionnaire", "", "", "jacques", "Jacques"
"ch030", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch030", "questionnaire", "", "", "suzette", "Suzette"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q47674", "", "Albertino Vespucci", "Albertino Vespucci"
"ch030", "géographie", "http://www.wikidata.org/entity/Q7322", "", "", "Christophe Colomb"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q7322", "", "Christoph Colomb", "Colomb"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q7322", "", "Christoph Colomb", "Colomb"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q7322", "", "Christoph Colomb", "Colomb"
"ch030", "géographie", "", "", "", "Colomb"
"ch030", "géographie", "http://www.wikidata.org/entity/Q12860", "", "Ferdinand II of Aragon", "Ferdinand"
"ch030", "géographie", "", "", "", "Ferdinand"
"ch030", "géographie", "", "", "", "Henri VII"
"ch030", "géographie", "http://www.wikidata.org/entity/Q675493", "", "Henry VII of England", "Henri VII"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q45859", "", "Isabella I de Castile", "Isabelle"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q217637", "", "", "Jean II"
"ch030", "géographie", "", "", "", "M. de Lesseps"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q3388890", "", "Penzone brothers", "Penzone"
"ch030", "géographie", "https://www.wikidata.org/wiki/Q5868869", "", "", "Pérez"
