"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch053", "récit", "", "", "benoît", "Benoît"
"ch053", "récit", "", "", "benoît", "Benoît"
"ch053", "récit", "https://www.wikidata.org/wiki/Q372984", "", "Charles Lamb", "Charles Lamb"
"ch053", "récit", "", "", "françois", "François"
"ch053", "récit", "", "", "ludivine", "Ludivine"
"ch053", "récit", "", "", "m_valon", "M. Valon"
"ch053", "récit", "", "", "mme_valon", "Mme Valon"
"ch053", "récit", "", "", "mme_valon", "Mme Valon"
"ch053", "récit", "", "", "mme_valon", "Mme Valon"
"ch053", "récit", "", "", "suzette", "Suzette"
"ch053", "questionnaire", "", "", "benoît", "Benoît"
"ch053", "questionnaire", "", "", "ludivine", "Ludivine"
"ch053", "questionnaire", "", "", "mme_valon", "Mme Valon"
"ch053", "questionnaire", "", "", "mme_valon", "Mme Valon"
"ch053", "questionnaire", "", "", "suzette", "Suzette"
