"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch115", "récit", "", "", "françois", "François"
"ch115", "récit", "", "", "jacques", "Jacques"
"ch115", "récit", "", "", "jacques", "Jacques"
"ch115", "récit", "", "", "suzette", "Suzette"
"ch115", "récit", "", "", "suzette", "Suzette"
"ch115", "questionnaire", "", "", "jacques", "Jacques"
"ch115", "questionnaire", "", "", "suzette", "Suzette"
"ch115", "questionnaire", "", "", "suzette", "Suzette"
"ch115", "sciences_naturelles", "", "", "", "RICHARD"
