"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch068", "récit", "http://www.wikidata.org/entity/Q319834", "", "Pierre Savorgnan de Brazza", "Brazza"
"ch068", "récit", "", "", "jacques", "Jacques"
"ch068", "récit", "http://www.wikidata.org/entity/Q48373", "", "David Livingstone", "Livingstone"
"ch068", "récit", "", "", "pascal", "Pascal"
"ch068", "récit", "", "", "pascal", "Pascal"
"ch068", "récit", "", "", "pascal", "Pascal"
"ch068", "récit", "http://www.wikidata.org/entity/Q171421", "", "Henry Morton Stanley", "Stanley"
"ch068", "récit", "", "", "suzette", "Suzette"
"ch068", "récit", "", "", "sylvain", "Sylvain"
"ch068", "récit", "", "", "sylvain", "Sylvain"
"ch068", "récit", "", "", "sylvain", "Sylvain"
"ch068", "récit", "", "", "sylvain", "Sylvain"
"ch068", "questionnaire", "", "", "jacques", "Jacques"
"ch068", "questionnaire", "", "", "m_dumay", "M. Dumay"
"ch068", "questionnaire", "", "", "pascal", "Pascal"
"ch068", "questionnaire", "", "", "pascal", "Pascal"
"ch068", "questionnaire", "", "", "sylvain", "Sylvain"
"ch068", "questionnaire", "", "", "sylvain", "Sylvain"
"ch068", "morale", "", "", "", "Mme de Lambert"
"ch068", "composition", "http://www.wikidata.org/entity/Q1401", "", "Petrarch", "Pétrarque"
