"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch092", "récit", "", "", "", "Gargantua"
"ch092", "récit", "", "", "mme_richard", "Mme Richard"
"ch092", "récit", "", "", "suzette", "Suzette"
"ch092", "récit", "", "", "suzette", "Suzette"
"ch092", "récit", "", "", "suzette", "Suzette"
"ch092", "récit", "", "", "suzette", "Suzette"
"ch092", "questionnaire", "", "", "suzette", "Suzette"
"ch092", "questionnaire", "", "", "suzette", "Suzette"
"ch092", "morale", "http://www.wikidata.org/entity/Q34969", "", "Benjamin Franklin", "Franklin"
