"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch130", "récit", "", "", "benoît", "Benoît"
"ch130", "récit", "", "", "charlot", "Charles"
"ch130", "récit", "", "", "charlot", "Charlot"
"ch130", "récit", "", "", "charlot", "Charlot"
"ch130", "récit", "", "", "charlot", "Charlot"
"ch130", "récit", "", "", "charlot", "Charlot"
"ch130", "récit", "", "", "charlot", "Charlot"
"ch130", "récit", "", "", "françois", "François"
"ch130", "récit", "", "", "françois", "François"
"ch130", "récit", "", "", "lisa", "Lisa"
"ch130", "récit", "", "", "ludivine", "Ludivine"
"ch130", "récit", "", "", "ludivine", "Ludivine"
"ch130", "récit", "", "", "ludivine", "Ludivine"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "suzette", "Suzette"
"ch130", "récit", "", "", "vincent", "Vincent"
"ch130", "récit", "", "", "vincent", "Vincent"
"ch130", "questionnaire", "", "", "charlot", "Charlot"
"ch130", "questionnaire", "", "", "françois", "François"
"ch130", "questionnaire", "", "", "ludivine", "Ludivine"
"ch130", "questionnaire", "", "", "ludivine", "Ludivine"
"ch130", "questionnaire", "", "", "suzette", "Suzette"
"ch130", "questionnaire", "", "", "suzette", "Suzette"
"ch130", "questionnaire", "", "", "suzette", "Suzette"
"ch130", "questionnaire", "", "", "vincent", "Vincent"
