"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch084", "récit", "http://www.wikidata.org/entity/Q183", "", "Germany", "Allemagne"
"ch084", "récit", "http://www.wikidata.org/entity/Q21", "", "England", "Angleterre"
"ch084", "récit", "http://www.wikidata.org/entity/Q1479", "", "Bordeaux", "Bordeaux"
"ch084", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch084", "récit", "http://www.wikidata.org/entity/Q42810", "", "Le Havre", "Havre"
"ch084", "récit", "http://www.wikidata.org/entity/Q23482", "", "Marseille", "Marseille"
"ch084", "récit", "http://www.wikidata.org/entity/Q152027", "", "Saint-Nazaire", "Saint-Nazaire"
"ch084", "récit", "http://www.wikidata.org/entity/Q1650", "", "Weser", "Weser"
"ch084", "questionnaire", "http://www.wikidata.org/entity/Q183", "", "Germany", "Allemagne"
"ch084", "histoire", "http://www.wikidata.org/entity/Q183", "", "Germany", "Allemagne"
"ch084", "histoire", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch084", "histoire", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch084", "histoire", "http://www.wikidata.org/entity/Q101081", "", "Provence", "Provence"
"ch084", "histoire", "http://www.wikidata.org/entity/Q6829", "", "Speyer", "Spire"
"ch084", "industrie", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch084", "industrie", "http://www.wikidata.org/entity/Q49", "", "North America", "Amérique"
"ch084", "industrie", "http://www.wikidata.org/entity/Q48", "", "Asia", "Asie"
"ch084", "industrie", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch084", "industrie", "http://www.wikidata.org/entity/Q42810", "", "Le Havre", "Havre"
"ch084", "industrie", "http://www.wikidata.org/entity/Q60", "", "New York City", "New-York"
"ch084", "industrie", "http://www.wikidata.org/entity/Q55643", "", "Oceania", "Océanie"
