"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch115", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch115", "sciences_naturelles", "http://www.wikidata.org/entity/Q1018645", "", "Mirabeau", "Mirabeau"
"ch115", "sciences_naturelles", "http://www.wikidata.org/entity/Q1018645", "", "Mirabeau", "Mirabeau"
"ch115", "sciences_naturelles", "", "", "", "Midi"
"ch115", "sciences_naturelles", "", "", "", "Nord"
"ch115", "sciences_naturelles", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch115", "sciences_naturelles", "", "", "", "région septentrionale de la France"
"ch115", "géographie", "http://www.wikidata.org/entity/Q1218849", "", "Bourgogne", "Bourgogne"
"ch115", "géographie", "http://www.wikidata.org/entity/Q12193", "", "Brest", "Brest"
"ch115", "géographie", "http://www.wikidata.org/entity/Q818443", "", "Briare", "Briare"
"ch115", "géographie", "", "", "", "Centre"
"ch115", "géographie", "http://www.wikidata.org/entity/Q234", "", "Flanders", "Flandre"
"ch115", "géographie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch115", "géographie", "http://www.wikidata.org/entity/Q41983", "", "Marne", "Marne"
"ch115", "géographie", "", "", "", "Midi"
"ch115", "géographie", "", "", "", "Nantes"
"ch115", "géographie", "http://www.wikidata.org/entity/Q1468519", "", "Nivernais", "Nivernais"
"ch115", "géographie", "http://www.wikidata.org/entity/Q21198444", "", "Rhin", "Rhin"
"ch115", "géographie", "http://www.wikidata.org/entity/Q21198444", "", "Rhin", "Rhin"
"ch115", "géographie", "http://www.wikidata.org/entity/Q602", "", "Rhône", "Rhône"
"ch115", "géographie", "http://www.wikidata.org/entity/Q1032591", "", "Canal de Saint-Quentin", "canal de Saint-Quentin"
