"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch119", "récit", "", "", "", "Fragicourt"
"ch119", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch119", "récit", "http://www.wikidata.org/entity/Q182744", "", "Saint-Quentin", "Saint-Quentin"
"ch119", "récit", "http://www.wikidata.org/entity/Q182744", "", "Saint-Quentin", "Saint-Quentin"
"ch119", "récit", "", "", "", "hôtel du Dragon d'Or"
"ch119", "récit", "", "", "", "la Chambre"
"ch119", "instruction_civique", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch119", "instruction_civique", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch119", "instruction_civique", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
