"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch136", "récit", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch136", "récit", "http://www.wikidata.org/entity/Q1479", "", "Bordeaux", "Bordeaux"
"ch136", "récit", "http://www.wikidata.org/entity/Q12193", "", "Brest", "Brest"
"ch136", "récit", "http://www.wikidata.org/entity/Q12193", "", "Brest", "Brest"
"ch136", "récit", "http://www.wikidata.org/entity/Q3667188", "", "Cherbourg", "Cherbourg"
"ch136", "récit", "http://www.wikidata.org/entity/Q3667188", "", "Cherbourg", "Cherbourg"
"ch136", "récit", "http://www.wikidata.org/entity/Q3667188", "", "Cherbourg", "Cherbourg"
"ch136", "récit", "http://www.wikidata.org/entity/Q29", "", "Spain", "Espagne"
"ch136", "récit", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch136", "récit", "", "", "", "Fort-de-France"
"ch136", "récit", "", "", "", "France"
"ch136", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch136", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch136", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch136", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch136", "récit", "http://www.wikidata.org/entity/Q1006", "", "Guinea", "Guinée"
"ch136", "récit", "http://www.wikidata.org/entity/Q71724", "", "Lorient", "Lorient"
"ch136", "récit", "", "", "", "Martinique"
"ch136", "récit", "http://www.wikidata.org/entity/Q17054", "", "Martinique", "Martinique"
"ch136", "récit", "http://www.wikidata.org/entity/Q17054", "", "Martinique", "Martinique"
"ch136", "récit", "http://www.wikidata.org/entity/Q45", "", "Portugal", "Portugal"
"ch136", "récit", "http://www.wikidata.org/entity/Q207587", "", "Rochefort", "Rochefort"
"ch136", "récit", "http://www.wikidata.org/entity/Q152027", "", "Saint-Nazaire", "Saint-Nazaire"
"ch136", "récit", "http://www.wikidata.org/entity/Q182744", "", "Saint-Quentin", "Saint-Quentin"
"ch136", "récit", "http://www.wikidata.org/entity/Q1041", "", "Senegal", "Sénégal"
"ch136", "récit", "http://www.wikidata.org/entity/Q44160", "", "Toulon", "Toulon"
"ch136", "questionnaire", "http://www.wikidata.org/entity/Q3667188", "", "Cherbourg", "Cherbourg"
"ch136", "questionnaire", "http://www.wikidata.org/entity/Q81621", "", "Fort-de-France", "Fort-de-France"
"ch136", "questionnaire", "http://www.wikidata.org/entity/Q17054", "", "Martinique", "Martinique"
"ch136", "géographie", "http://www.wikidata.org/entity/Q4412", "", "West Africa", "Afrique occidentales"
"ch136", "géographie", "", "", "", "Amérique orientale"
"ch136", "géographie", "http://www.wikidata.org/entity/Q166131", "", "Antilles", "Antilles"
"ch136", "géographie", "http://www.wikidata.org/entity/Q166131", "", "Antilles", "Antilles"
"ch136", "géographie", "http://www.wikidata.org/entity/Q97", "", "Atlantic Ocean", "Atlantique"
"ch136", "géographie", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch136", "géographie", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch136", "géographie", "http://www.wikidata.org/entity/Q93259", "", "Lesser Antilles", "petites Antilles"
"ch136", "composition", "http://www.wikidata.org/entity/Q828", "", "Americas", "Amérique"
