"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch057", "récit", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch057", "récit", "", "", "Escaut", "Escaut"
"ch057", "récit", "https://www.wikidata.org/wiki/Q1774", "", "Zanzibar", "Zanzibar"
"ch057", "questionnaire", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch057", "géographie", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch057", "géographie", "http://www.wikidata.org/entity/Q1774", "", "Zanzibar Islands", "Zanzibar"
"ch057", "géographie", "http://www.wikidata.org/entity/Q1774", "", "Zanzibar Islands", "Zanzibar"
