"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch129", "récit", "http://www.wikidata.org/entity/Q828", "", "Americas", "Amérique"
"ch129", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch129", "industrie", "http://www.wikidata.org/entity/Q1152", "", "Auvergne", "Auvergne"
"ch129", "industrie", "http://www.wikidata.org/entity/Q428654", "", "Bordelais", "Bordelais"
"ch129", "industrie", "", "", "", "Bourgogne"
"ch129", "industrie", "http://www.wikidata.org/entity/Q1173", "", "Burgundy", "Bourgogne"
"ch129", "industrie", "http://www.wikidata.org/entity/Q2428809", "", "Champagne", "Champagne"
"ch129", "industrie", "http://www.wikidata.org/entity/Q2957714", "", "Charentes", "Charentes"
"ch129", "industrie", "http://www.wikidata.org/entity/Q285", "", "Cognac", "Cognac"
"ch129", "industrie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch129", "industrie", "", "", "", "Franche- Comté"
"ch129", "industrie", "http://www.wikidata.org/entity/Q16394", "", "Franche-Comté", "Franche- Comté"
"ch129", "industrie", "http://www.wikidata.org/entity/Q191085", "", "Gascony", "Gascogne"
"ch129", "industrie", "http://www.wikidata.org/entity/Q206221", "", "Languedoc", "Languedoc"
"ch129", "industrie", "http://www.wikidata.org/entity/Q1469", "", "Loire", "Loire"
"ch129", "industrie", "http://www.wikidata.org/entity/Q41986", "", "Meuse", "Meuse"
"ch129", "industrie", "http://www.wikidata.org/entity/Q1667", "", "Moselle", "Moselle"
"ch129", "industrie", "http://www.wikidata.org/entity/Q4918", "", "Mediterranean Sea", "Méditerranée"
"ch129", "industrie", "http://www.wikidata.org/entity/Q1425908", "", "Orléanais", "Orléanais"
"ch129", "industrie", "http://www.wikidata.org/entity/Q602", "", "Rhône", "Rhône"
"ch129", "industrie", "", "", "", "pays vignobles"
"ch129", "industrie", "", "", "", "vigne"
"ch129", "agriculture", "http://www.wikidata.org/entity/Q29", "", "Spain", "Espagne"
"ch129", "agriculture", "http://www.wikidata.org/entity/Q182872", "", "Fontainebleau", "Fontainebleau"
"ch129", "agriculture", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch129", "agriculture", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch129", "agriculture", "http://www.wikidata.org/entity/Q899588", "", "Thomery", "Thomery"
