"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch127", "récit", "", "", "", "Fragicourt"
"ch127", "industrie", "http://www.wikidata.org/entity/Q218272", "", "French Algeria", "Algérie"
"ch127", "industrie", "http://www.wikidata.org/entity/Q828", "", "Americas", "Amérique"
"ch127", "industrie", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12526", "", "Gironde", "Gironde"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12549", "", "Ille-et-Vilaine", "Ille et-Vilaine"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12576", "", "Lot", "Lot"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12578", "", "Lot-et-Garonne", "Lot-et-Garonne"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12661", "", "Nord", "Nord"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12689", "", "Pas-de-Calais", "Pas-de-Calais"
"ch127", "industrie", "http://www.wikidata.org/entity/Q12789", "", "Var", "Var"
"ch127", "industrie", "http://www.wikidata.org/entity/Q127834", "", "New World", "nouveau monde"
