"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch067", "récit", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch067", "récit", "http://www.wikidata.org/entity/Q828", "", "Americas", "Amérique"
"ch067", "récit", "", "", "", "Gabon"
"ch067", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch067", "récit", "http://www.wikidata.org/entity/Q157904", "", "Sultanate of Zanzibar", "Zanzibar"
"ch067", "récit", "http://www.wikidata.org/entity/Q157904", "", "Sultanate of Zanzibar", "Zanzibar"
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "", "", "", ""
"ch067", "géographie", "http://www.wikidata.org/entity/Q7007824", "", "Abyssinia", "Abyssinie"
"ch067", "géographie", "http://www.wikidata.org/entity/Q7007824", "", "Abyssinia", "Abyssinie"
"ch067", "géographie", "http://www.wikidata.org/entity/Q7007824", "", "Abyssinia", "Abyssinie"
"ch067", "géographie", "http://www.wikidata.org/entity/Q7007824", "", "Abyssinia", "Abyssinie"
"ch067", "géographie", "http://www.wikidata.org/entity/Q218272", "", "French Algeria", "Algérie"
"ch067", "géographie", "http://www.wikidata.org/entity/Q429338", "", "Bakel", "Bakel"
"ch067", "géographie", "http://www.wikidata.org/entity/Q429338", "", "Bakel", "Bakel"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3703", "", "Bamako", "Bamakou"
"ch067", "géographie", "http://www.wikidata.org/entity/Q805975", "", "Bambouk", "Bambouk"
"ch067", "géographie", "http://www.wikidata.org/entity/Q673169", "", "Lake Bangweulu", "Bangouéolo"
"ch067", "géographie", "http://www.wikidata.org/entity/Q212786", "", "Benguela Province", "Benguéla"
"ch067", "géographie", "http://www.wikidata.org/entity/Q212786", "", "Benguela Province", "Benguéla"
"ch067", "géographie", "http://www.wikidata.org/entity/Q863321", "", "Bilma", "Bilma"
"ch067", "géographie", "http://www.wikidata.org/entity/Q799843", "", "Bagamoyo", "Bogamoya"
"ch067", "géographie", "http://www.wikidata.org/entity/Q32518607", "", "Bornou", "Bornou"
"ch067", "géographie", "http://www.wikidata.org/entity/Q32518607", "", "Bornou", "Bornou"
"ch067", "géographie", "http://www.wikidata.org/entity/Q5675285", "", "Kazembe", "Cazembé"
"ch067", "géographie", "http://www.wikidata.org/entity/Q746975", "", "Lake Chilwa", "Chiroua"
"ch067", "géographie", "http://www.wikidata.org/entity/Q2597556", "", "Congo", "Congo"
"ch067", "géographie", "http://www.wikidata.org/entity/Q5468", "", "Durban", "Durban"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1000", "", "Gabon", "Gabon"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1000", "", "Gabon", "Gabon"
"ch067", "géographie", "http://www.wikidata.org/entity/Q192237", "", "Ghadames", "Ghadamès"
"ch067", "géographie", "http://www.wikidata.org/entity/Q192237", "", "Ghadames", "Ghadamès"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1391631", "", "Gondokoro", "Gondokoro"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1391631", "", "Gondokoro", "Gondokoro"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1391631", "", "Gondokoro", "Gondokoro"
"ch067", "géographie", "http://www.wikidata.org/entity/Q6583", "", "Sahara", "Grand Désert"
"ch067", "géographie", "http://www.wikidata.org/entity/Q76593022", "", "In Salah Province", "Insalah"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1963", "", "Khartoum", "Khartoum"
"ch067", "géographie", "http://www.wikidata.org/entity/Q578014", "", "Kita", "Kita"
"ch067", "géographie", "http://www.wikidata.org/entity/Q867052", "", "Kordofan", "Kordofan"
"ch067", "géographie", "http://www.wikidata.org/entity/Q1028", "", "Morocco", "Maroc"
"ch067", "géographie", "http://www.wikidata.org/entity/Q526822", "", "Murzuk", "Mourzouk"
"ch067", "géographie", "http://www.wikidata.org/entity/Q526822", "", "Murzuk", "Mourzouk"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3332666", "", "Médine, Mali", "Médine"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3332666", "", "Médine, Mali", "Médine"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3542", "", "Niger River", "Niger"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3542", "", "Niger River", "Niger"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3542", "", "Niger River", "Niger"
"ch067", "géographie", "http://www.wikidata.org/entity/Q20982116", "", "Niger", "Niger supérieur"
"ch067", "géographie", "http://www.wikidata.org/entity/Q3392", "", "Nile", "Nil"
