"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch123", "industrie", "http://www.wikidata.org/entity/Q40898", "", "Nancy", "Nancy"
"ch123", "géographie", "http://www.wikidata.org/entity/Q1152", "", "Auvergne", "Auvergne"
"ch123", "géographie", "http://www.wikidata.org/entity/Q12130", "", "Brittany", "Bretagne"
"ch123", "géographie", "http://www.wikidata.org/entity/Q41185", "", "Caen", "Caen"
"ch123", "géographie", "http://www.wikidata.org/entity/Q3667188", "", "Cherbourg", "Cherbourg"
"ch123", "géographie", "http://www.wikidata.org/entity/Q3377", "", "Eure-et-Loir", "Eure-et-Loir"
"ch123", "géographie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch123", "géographie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch123", "géographie", "http://www.wikidata.org/entity/Q1190", "", "Limousin", "Limousin"
"ch123", "géographie", "http://www.wikidata.org/entity/Q18677875", "", "Normandy", "Normandie"
"ch123", "géographie", "http://www.wikidata.org/entity/Q12679", "", "Orne", "Orne"
"ch123", "géographie", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
