"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch126", "récit", "http://www.wikidata.org/entity/Q932289", "", "Congo basin", "Congo"
"ch126", "récit", "", "", "", "Fragicourt"
"ch126", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch126", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch126", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch126", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch126", "récit", "http://www.wikidata.org/entity/Q6583", "", "Sahara", "Sahara"
"ch126", "récit", "http://www.wikidata.org/entity/Q157904", "", "Sultanate of Zanzibar", "Zanzibar"
"ch126", "questionnaire", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch126", "industrie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
