"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch090", "récit", "produit", "légume", "asperge", "Asperge"
"ch090", "récit", "produit", "légume", "pois", "Pois"
"ch090", "récit", "produit", "légume", "", "asperges"
"ch090", "récit", "produit", "légume", "asperge", "asperges"
"ch090", "récit", "ingrédient", "laitier", "beurre", "beurre"
"ch090", "récit", "produit", "légume", "carotte", "carottes"
"ch090", "récit", "produit", "légume", "chou", "choux"
"ch090", "récit", "mets", "", "conserves", "conserves"
"ch090", "récit", "produit", "légume", "cresson", "cresson"
"ch090", "récit", "produit", "légume", "cresson", "cresson de fontaine"
"ch090", "récit", "ustensile", "", "eau", "eau bouillante"
"ch090", "récit", "produit", "légume", "", "haricots verts"
"ch090", "récit", "ingrédient", "éparco", "huile", "huile"
"ch090", "récit", "ingrédient", "légume", "asperge", "jeunes pousses"
"ch090", "récit", "produit", "légume", "légume", "légumes"
"ch090", "récit", "ustensile", "", "panier", "panier"
"ch090", "récit", "produit", "légume", "petit pois", "petits pois"
"ch090", "récit", "produit", "légume", "pois", "petits pois"
"ch090", "récit", "produit", "légume", "asperge", "plante potagère"
"ch090", "récit", "produit", "légume", "pois", "pois"
"ch090", "récit", "produit", "légume", "radis", "radis"
"ch090", "récit", "mets", "", "rôti", "rôti"
"ch090", "récit", "mets", "", "sauce blanche", "sauce blanche"
"ch090", "questionnaire", "produit", "légume", "asperge", "asperges"
"ch090", "questionnaire", "produit", "légume", "cresson", "cresson"
"ch090", "questionnaire", "produit", "légume", "légume", "légumes"
"ch090", "questionnaire", "produit", "légume", "petit pois", "petits pois"
"ch090", "complexe", "", "", "", "LÉGUMES"
"ch090", "complexe", "", "", "", "ail"
"ch090", "complexe", "", "", "", "artichauts"
"ch090", "complexe", "", "", "", "asperges"
"ch090", "complexe", "", "", "", "assaisonnées"
"ch090", "complexe", "", "", "", "carotte"
"ch090", "complexe", "", "", "", "cerfeuil"
"ch090", "complexe", "", "", "", "chicorée"
"ch090", "complexe", "", "", "", "choux"
"ch090", "complexe", "", "", "", "choux-fleurs"
"ch090", "complexe", "", "", "", "ciboule"
