"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch016", "économie_domestique", "mets", "", "pots de crème au café", "au café"
"ch016", "économie_domestique", "mets", "", "tartes aux prunes", "aux prunes"
"ch016", "économie_domestique", "mets", "", "tartes aux abricots", "aux abricots"
"ch016", "économie_domestique", "mets", "", "tartes aux cerises", "aux cerises"
"ch016", "économie_domestique", "mets", "", "beignets", "beignets"
"ch016", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "économie_domestique", "mets", "", "biscuits de ménage", "biscuits de ménage"
"ch016", "économie_domestique", "mets", "", "charlottes", "charlottes"
"ch016", "économie_domestique", "mets", "", "croquettes", "croquettes"
"ch016", "économie_domestique", "mets", "", "crème renversée", "crème renversée"
"ch016", "économie_domestique", "mets", "", "entremets sucrés", "entremets sucrés"
"ch016", "économie_domestique", "mets", "", "galettes de ménage", "galettes de ménage"
"ch016", "économie_domestique", "mets", "", "gâteau quatre-quarts", "gâteau quatre-quarts"
"ch016", "économie_domestique", "mets", "", "gâteaux", "gâteaux"
"ch016", "économie_domestique", "mets", "", "gâteaux", "gâteaux"
"ch016", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch016", "économie_domestique", "mets", "", "mets", "mets"
"ch016", "économie_domestique", "mets", "", "mets", "mets"
"ch016", "économie_domestique", "mets", "", "pommes au beurre", "pommes au beurre "
"ch016", "économie_domestique", "mets", "", "pots de crème au chocolat", "pots de crème au chocolat"
"ch016", "économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"ch016", "économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch016", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch016", "économie_domestique", "mets", "", "tartes", "tartes"
"ch016", "économie_domestique", "mets", "", "tôt-fait", "tôt-fait"
"ch016", "économie_domestique", "mets", "", "tartes à la frangipane", "à la frangipane"
"ch016", "économie_domestique", "mets", "", "tartes à la purée de pommes", "à la purée de pommes"
"ch016", "économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"ch016", "hygiène", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "hygiène", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "hygiène", "ingrédient", "animal", "graisses", "graisses"
"ch016", "hygiène", "ingrédient", "animal", "jaunes d'œufs", "jaunes d'œufs"
"ch016", "hygiène", "mets", "", "pain", "pain"
"ch016", "hygiène", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "hygiène", "mets", "", "pâtisseries", "pâtisseries""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch022", "récit", "produit", "fruit", "Cerises", "Cerises"
"ch022", "récit", "produit", "fruit", "Poires", "Poires"
"ch022", "récit", "produit", "boisson", "cidre", "boisson"
"ch022", "récit", "produit", "fruit", "cerises", "cerises"
"ch022", "récit", "produit", "fruit", "cerisier", "cerisier"
"ch022", "récit", "produit", "boisson", "cidre", "cidre"
"ch022", "récit", "produit", "boisson", "cidre", "cidre"
"ch022", "récit", "mets", "", "confiture", "confiture"
"ch022", "récit", "mets", "", "dessert", "dessert"
"ch022", "récit", "produit", "boisson", "eau-de-vie", "eau-de-vie"
"ch022", "récit", "produit", "fruit", "cerises", "fruit"
"ch022", "récit", "produit", "boisson", "jus de pommes fermenté", "jus de pommes fermenté"
"ch022", "récit", "ingrédient", "fruit", "poires", "poires"
"ch022", "récit", "ingrédient", "fruit", "poires", "poires"
"ch022", "récit", "produit", "fruit", "poiriers", "poiriers"
"ch022", "récit", "produit", "boisson", "poiré", "poiré"
"ch022", "récit", "ingrédient", "fruit", "pommes", "pommes"
"ch022", "récit", "ingrédient", "fruit", "pommes", "pommes"
"ch022", "récit", "produit", "fruit", "pommes", "pommes"
"ch022", "récit", "produit", "fruit", "pommiers", "pommiers"
"ch022", "récit", "mets", "", "pâtisserie", "pâtisserie"
"ch022", "agriculture", "produit", "fruit", "abricotiers", "abricotiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "bigarreaux", "bigarreaux"
"ch022", "agriculture", "produit", "fruit", "cerises", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerises", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerisier", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerises jaunes", "cerises jaunes"
"ch022", "agriculture", "produit", "fruit", "cerises aigres", "cerises aigres"
"ch022", "agriculture", "produit", "fruit", "cerises douces", "cerises douces"
"ch022", "agriculture", "produit", "fruit", "cerisier", "cerisier"
"ch022", "agriculture", "produit", "fruit", "cerisier", "cerisier"
"ch022", "agriculture", "produit", "fruit", "cerisier", "cerisiers"
"ch022", "agriculture", "produit", "fruit", "cerisiers", "cerisiers"
"ch022", "agriculture", "produit", "fruit", "châtaigniers", "châtaigniers"
"ch022", "agriculture", "produit", "fruit", "figuiers", "figuiers"
"ch022", "agriculture", "produit", "fruit", "fruits", "fruits"
"ch022", "agriculture", "produit", "fruit", "fruits", "fruits"
"ch022", "agriculture", "produit", "fruit", "fruits", "fruits"
"ch022", "agriculture", "produit", "fruit", "fruits", "fruits"
"ch022", "agriculture", "produit", "fruit", "fruits", "fruits"
"ch022", "agriculture", "produit", "fruit", "merises", "merises"
"ch022", "agriculture", "produit", "fruit", "noisetiers", "noisetiers"
"ch022", "agriculture", "produit", "fruit", "noyers", "noyers"
"ch022", "agriculture", "produit", "fruit", "orangers", "orangers"
"ch022", "agriculture", "produit", "fruit", "poirier", "poirier"
"ch022", "agriculture", "produit", "fruit", "poiriers", "poiriers"
"ch022", "agriculture", "produit", "fruit", "pommier", "pommier"
"ch022", "agriculture", "produit", "fruit", "pommiers", "pommiers"
"ch022", "agriculture", "produit", "fruit", "pêchers", "pêchers"
"ch022", "agriculture", "produit", "fruit", "vergers", "vergers"
"ch022", "économie_domestique", "mets", "", "CONSERVES DE CERISES", "CONSERVES DE CERISES"
"ch022", "économie_domestique", "produit", "fruit", "fruitier", "FRUITIER"
"ch022", "économie_domestique", "mets", "", "pommes au beurre", "au beurre"
"ch022", "économie_domestique", "ustensile", "", "bain-marie", "bain-marie"
"ch022", "économie_domestique", "mets", "", "beignets", "beignets"
"ch022", "économie_domestique", "produit", "boisson", "boisson", "boisson"
"ch022", "économie_domestique", "ustensile", "", "bouteilles", "bouteilles"
"ch022", "économie_domestique", "ingrédient", "fruit", "cerises", "cerises"
