"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "fruit", "fraise", "Fraises"
"récit", "mets", "", "confiture de fraises", "confitures de fraises"
"récit", "mets", "", "dessert", "dessert"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraise", "fraises"
"récit", "produit", "fruit", "fraisier", "fraisier"
"récit", "produit", "fruit", "fraise", "fruit"
"récit", "ustensile", "", "panier", "panier"
"récit", "ustensile", "", "panier", "panier"
"récit", "ustensile", "", "panier", "panier"
"récit", "ustensile", "", "panier", "paniers"
"questionnaire", "produit", "fruit", "fraise", "fraises"
"questionnaire", "produit", "fruit", "fraise", "fraises"
"économie_domestique", "mets", "", "confiture de fraises", "CONFITURES DE FRAISES"
"économie_domestique", "produit", "fruit", "fraise", "caperons"
"économie_domestique", "mets", "", "confiture de fraises", "confitures"
"économie_domestique", "mets", "", "confiture de fraises", "confitures"
"économie_domestique", "mets", "", "confiture de fraises", "confitures de fraises"
"économie_domestique", "mets", "", "confiture de fraises", "confitures de fraises"
"économie_domestique", "ustensile", "", "eau", "eau"
"économie_domestique", "ustensile", "", "eau", "eau fraîche"
"économie_domestique", "ingrédient", "boisson", "eau-de-vie", "eau-de-vie"
"économie_domestique", "ustensile", "", "papier", "fort papier"
"économie_domestique", "ingrédient", "fruit", "fraise", "fraises"
"économie_domestique", "produit", "fruit", "fraise", "fraises"
"économie_domestique", "produit", "fruit", "fraise", "fraises de jardin"
"économie_domestique", "produit", "fruit", "fraise", "fraises des bois"
"économie_domestique", "ustensile", "", "papier", "papier imbibé d’eau-de-vie"
"économie_domestique", "ustensile", "", "pot", "pots"
"économie_domestique", "ustensile", "", "pot", "pots"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
