"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "récit", "produit", "boisson", "eau", "eau"
"ch026", "questionnaire", "produit", "boisson", "eau", "eau"
"ch026", "questionnaire", "produit", "boisson", "eau", "eau"
"ch026", "questionnaire", "produit", "boisson", "eau", "eau"
"ch026", "sciences_naturelles", "produit", "boisson", "eau", "eau"
"ch026", "sciences_naturelles", "produit", "boisson", "eau", "eau"
"ch026", "sciences_naturelles", "produit", "boisson", "eau", "eau"
"ch026", "industrie", "produit", "minéral", "eau", "eau"
"ch026", "hygiène", "produit", "boisson", "eau", "eau"
